Sam Hunt,Take Your Time,1,0,0,0
Little Big Town,Girl Crush,0,0,1,0
Eric Church,Like A Wrecking Ball,1,0,0,0
Miranda Lambert,Roots and Wings,0,0,0,0
Lee Brice,I Don't Dance,1,0,0,0
Kenny Chesney,American Kids,0,0,0,0
Eric Church,Talladega,0,0,0,0
Randy Houser,Like a Cowboy,0,0,0,0
Kacey Musgraves,Dime Store Cowgirl,0,0,0,0
Chris Stapleton,Traveller,0,0,0,0
Carrie Underwood,Smoke Break,0,0,0,0
Thomas Rhett,Crash And Burn,0,0,0,0
Kelsea Ballerini,Love Me Like You Mean It,1,0,0,0
Maddie & Tae,Girl In A Country Song,0,0,1,0
Florida Georgia Line,Sippin’ On Fire,0,0,0,0
Dierks Bentley,Drunk On A Plane,0,0,0,0
Dan + Shay,Nothin' Like You,0,0,0,0
Lee Ann Womack,The Way I'm Livin',0,1,0,0
The Band Perry,Live Forever,0,0,0,0
Brothers Osborne,Stay A Little Longer,2,0,0,0
Thompson Square,If I Didn't Have You,0,0,0,0
Zac Brown Band,Loving You Easy,0,0,0,0
Lady Antebellum,Long Stretch Of Love,0,0,0,0
Rascal Flatts,I Like The Sound Of That,1,0,0,0
Luke Bryan,Kick The Dust Up,0,0,0,0
Blake Shelton,Sangria,0,0,0,0
Coldplay,Viva La Vida,0,1,0,0
St. Lucia,Elevate,0,0,0,0
Macklemore & Ryan Lewis,"Downtown (feat. Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz)",0,0,0,0
Bill Withers,Lovely Day,2,0,0,0
Avicii,Wake Me Up,0,0,0,0
Pentatonix,Can't Sleep Love,2,0,0,0
Demi Lovato,Confident,0,0,0,0
Arcade Fire,Wake Up,0,0,0,0
Hailee Steinfeld,Love Myself,10,0,0,0
Sam Smith,Money On My Mind,6,0,0,0
Esperanza Spalding,I Can't Help It,1,0,0,0
John Newman,Come And Get It,0,0,0,0
Felix Jaehn,Ain't Nobody (Loves Me Better),4,0,0,0
Mark Ronson,Feel Right,0,0,0,0
Clean Bandit,Rather Be (feat. Jess Glynne),0,0,0,0
Katrina & The Waves,Walking On Sunshine,1,0,0,0
MisterWives,Reflections,1,0,0,0
Carly Rae Jepsen,Warm Blood,0,0,0,0
iLoveMemphis,Hit the Quan - Original Version,1,1,0,0
Sam Smith,Writing's On The Wall,0,0,0,0
Adele,Skyfall - Full Length,0,0,0,0
Paul McCartney,Live And Let Die,0,0,0,0
Chris Cornell,You Know My Name - From Casino Royale,0,0,0,0
Duran Duran,A View To A Kill,0,0,0,0
Jack White,Another Way to Die,1,0,0,0
Madonna,Die Another Day,0,0,0,0
Shirley Bassey,Goldfinger,0,1,0,0
Carly Simon,Nobody Does It Better,4,0,0,0
Matt Monro,From Russia With Love,2,0,0,0
Tom Jones,Thunderball,0,0,0,0
Nancy Sinatra,You Only Live Twice,1,0,0,0
Herb Alpert & The Tijuana Brass,Casino Royale,0,0,0,0
Louis Armstrong,We Have All the Time In the World,2,0,0,0
Shirley Bassey,Diamonds Are Forever,1,1,0,0
Lulu,The Man With the Golden Gun,1,0,0,0
Shirley Bassey,Moonraker,1,0,0,0
The 007 Orchestra,For Your Eyes Only,0,0,0,0
Rita Coolidge,All Time High,2,0,0,0
Lani Hall,Main Title: Never Say Never Again (feat. Lani Hall),0,0,0,0
a-ha,The Living Daylights,0,0,0,0
Tina Turner,Goldeneye,0,0,0,0
Sheryl Crow,Tomorrow Never Dies,1,0,0,0
Garbage,The World Is Not Enough,2,0,0,0
Wham!,Wake Me up Before You Go-Go,0,0,0,0
Iggy Azalea,Work,1,0,1,0
MisterWives,Reflections,1,0,0,0
Ace of Base,All That She Wants,0,0,0,0
Meghan Trainor,Dear Future Husband,0,0,0,0
Shawn Mendes,Something Big,0,0,0,0
Neil Diamond,Sweet Caroline,0,0,0,0
Imagine Dragons,It's Time,0,0,0,0
Shawn Mendes,Stitches,0,0,0,0
The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2,0,1,0
The Supremes,Baby Love,6,0,0,0
Etta James,At Last,1,0,0,0
Four Tops,"I Can’t Help Myself (Sugar Pie, Honey Bunch)",2,0,0,0
Marvin Gaye,It Takes Two,1,0,0,0
Al Green,Let's Stay Together,2,0,0,0
Colbie Caillat,Try,0,1,0,0
"Earth, Wind & Fire",September,1,0,0,0
Bon Iver,Skinny Love,2,0,0,0
Maroon 5,Unkiss Me,1,0,0,0
Frank Sinatra,Come Fly With Me - Remastered ) [The Frank Sinatra Collection],0,0,0,0
Frank Sinatra with Count Basie And His Orchestra,The Best Is Yet To Come - Remastered ) [The Frank Sinatra Collection],0,0,0,0
Frank Sinatra,The Way You Look Tonight - Remastered ) [The Frank Sinatra Collection],1,0,0,0
Frank Sinatra,Luck Be A Lady - Remastered ) [The Frank Sinatra Collection],2,0,0,0
Frank Sinatra with Count Basie And His Orchestra,The Good Life - Remastered ) [The Frank Sinatra Collection],2,0,0,0
Frank Sinatra and Antonio Carlos Jobim,The Girl From Ipanema - Remastered ) [The Frank Sinatra Collection],1,0,0,0
