The Notorious B.I.G.,Mo Money Mo Problems (feat. Mase & Puff Daddy),0,0,0,0
Hanson,MMMBop,0,0,0,0
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit,0,0,0,0
Vengaboys,We Like To Party,0,0,0,0
Next,Too Close,1,0,0,0
Brandy,The Boy Is Mine - Radio Edit without Intro,2,1,1,0
Smash Mouth,All Star,0,0,0,0
LEN,Steal My Sunshine,0,1,0,0
Jennifer Lopez,If You Had My Love,5,0,0,0
Christina Aguilera,Genie In A Bottle (Album Version),0,0,0,0
Aaliyah,Try Again,1,0,0,0
Eve,Let Me Blow Ya Mind,0,0,0,0
Eminem,Without Me,0,0,0,0
Jimmy Eat World,The Middle,0,0,0,1
Avril Lavigne,Complicated,0,1,0,0
Sean Paul,Get Busy,1,0,0,0
Chingy,Right Thurr,0,0,0,0
Beyoncé,Crazy in Love,3,0,0,0
Usher,Confessions Part II,0,0,0,0
Juvenile,Slow Motion,1,0,0,0
The Pussycat Dolls,Don't Cha - Radio Edit,0,0,0,0
Gwen Stefani,Hollaback Girl,0,0,0,0
Shakira,Hips Don't Lie,0,0,1,0
Nelly Furtado,Promiscuous,0,0,0,0
Gnarls Barkley,Crazy,0,0,0,0
Rihanna,Umbrella,0,0,0,0
Lil Wayne,Lollipop,1,0,0,0
Katy Perry,I Kissed a Girl,2,0,0,0
Coldplay,Viva La Vida,0,1,0,0
Taylor Swift,You Belong With Me,0,0,0,1
The Black Eyed Peas,I Gotta Feeling,0,0,0,0
Taio Cruz,Dynamite,0,0,0,0
Katy Perry,California Gurls - feat. Snoop Dogg,3,0,0,0
Eminem,Love The Way You Lie,5,1,2,0
Nicki Minaj,Super Bass,0,0,0,0
LMFAO,Party Rock Anthem,0,0,0,0
Adele,Rolling in the Deep,2,0,0,0
Icona Pop,I Love It,2,0,0,0
Carly Rae Jepsen,Call Me Maybe,0,0,0,0
Robin Thicke,Blurred Lines,0,0,1,0
Iggy Azalea,Fancy,0,0,0,0
Clean Bandit,Rather Be (feat. Jess Glynne),0,0,0,0
Calvin Harris,Summer,1,0,0,0
Rita Ora,I Will Never Let You Down,1,0,0,0
Naughty Boy,La La La,0,0,1,0
2Pac,California Love - Original Mix (Explicit),1,0,0,0
2Pac,Ambitionz Az A Ridah,1,0,0,0
Sam Hunt,Leave The Night On,1,0,0,0
Tiësto,A Town Called Paradise,2,0,0,0
Lana Del Rey,Cruel World,1,0,0,0
Alanis Morissette,You Oughta Know,2,0,0,0
Dr. Dog,Lonesome,0,0,0,0
The Preatures,Is This How You Feel?,0,0,0,0
Bleachers,I Wanna Get Better,5,2,0,0
David Correy,The World Is Ours (feat. Monobloco),0,0,0,0
Daft Punk,Get Lucky - Radio Edit,0,0,0,0
Daft Punk,One More Time,0,0,0,0
George Benson,(You Make Me Feel Like) a Natural Woman,1,0,0,0
The Beach Boys,Surfin' U.S.A. - 2001 - Remaster,0,0,0,0
Mike Oldfield,Nuclear,0,0,0,0
Pigeon John,The Bomb,0,0,0,0
Benjamin Booker,Violent Shiver,0,0,0,0
Michael Jackson,Love Never Felt so Good,6,0,0,0
G-Eazy,Lady Killers (feat. Hoodie Allen),0,0,0,0
Eminem,'Till I Collapse,0,1,0,0
Aaliyah,Age Ain't Nothing but a Number,0,0,0,0
Lucius,Turn It Around,0,0,0,0
Lupe Fiasco,The Show Goes On,0,0,0,0
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,0,0,0,0
Miranda Lambert,Somethin' Bad - (Duet with Carrie Underwood),0,0,0,1
Michael Jackson,Thriller,0,5,0,0
Passenger,Whispers,1,0,0,0
The Clash,London Calling - Remastered,0,1,0,0
Alex Wiley,See The Day,0,0,0,0
Led Zeppelin,Good Times Bad Times,0,0,0,0
Austin Mahone,Secret,0,1,0,0
Luke Bryan,That's My Kind Of Night,1,0,0,0
Taylor Swift,Red,0,0,0,0
Jimmy Smith,Midnight Special - 2007 Digital Remaster,2,0,0,0
Matisyahu,Reservoir,0,0,0,0
Skrillex,Bangarang (feat. Sirah),0,0,0,0
Jack White,Sixteen Saltines,0,0,4,0
Röyksopp,Happy Up Here,1,0,0,0
Robyn,Dancing On My Own,1,0,0,0
Body Count,"Talk Shit, Get Shot",0,0,0,0
Twin Shadow,To The Top,0,0,0,0
Lana Del Rey,Ultraviolence,0,0,1,0
Future Islands,Seasons (Waiting On You) [Live from Spotify SXSW 2014],0,0,0,0
OK Go,The Writing's on the Wall,0,0,0,0
The Orwells,Who Needs You,0,0,0,0
Watsky,Sloppy Seconds,4,0,0,0
Spoon,Rent I Pay,0,0,0,0
G-Eazy,I Mean It,0,1,1,0
G-Eazy,Let's Get Lost,0,0,0,0
Passenger,Whispers - Live Spotify Sydney Opera House,4,0,0,0
Jukebox The Ghost,Somebody,0,0,0,0
alt-J,Hunger Of The Pine,0,0,0,0
Copeland,Thanks To You,1,0,0,0
The Gym Allstars,Music Sounds Better With You,4,0,0,0
Diana Ross,You Are Everything,0,0,0,0
Rihanna,Don't Stop The Music,0,0,0,0
Estelle,Thank You,0,0,0,0
Chris Brown,Turn Up the Music,0,0,0,0
Andrew Gold,Thank You For Being A Friend,0,0,0,0
JAY Z,Thank You,1,0,0,0
MKTO,Thank You,0,0,0,0
Alanis Morissette,Thank You,0,0,0,0
Dido,Thank You,0,0,0,0
Ray LaMontagne,You Are the Best Thing,0,0,0,0
Royal Blood,Out Of The Black,0,0,0,0
Twenty One Pilots,Car Radio,0,0,1,0
Vance Joy,Riptide,1,2,0,0
The Districts,Funeral Beds,2,0,0,0
Hozier,From Eden,0,0,0,0
Jungle,Busy Earnin',0,0,0,0
MØ,Don't Wanna Dance,0,0,0,0
Roadkill Ghost Choir,Beggars' Guild,0,0,0,0
St. Paul & The Broken Bones,Call Me,0,0,0,0
